,Price,year,month,day
820,3.1100000000000003,2000,4,14
821,3.1299999999999986,2000,4,17
822,3.1199999999999997,2000,4,18
823,3.1199999999999997,2000,4,19
824,3.0700000000000003,2000,4,20
825,3.1199999999999997,2000,4,24
826,3.180000000000001,2000,4,25
827,3.1199999999999997,2000,4,26
828,3.0600000000000014,2000,4,27
829,3.09,2000,4,28
830,3.1599999999999997,2000,5,1
831,3.2,2000,5,2
832,3.180000000000001,2000,5,3
833,3.09,2000,5,4
834,3.1100000000000003,2000,5,5
835,3.1199999999999997,2000,5,8
836,3.25,2000,5,9
837,3.2,2000,5,10
838,3.3699999999999997,2000,5,11
839,3.3499999999999996,2000,5,12
840,3.3699999999999997,2000,5,15
841,3.449999999999999,2000,5,16
842,3.489999999999999,2000,5,17
843,3.7300000000000004,2000,5,18
844,3.76,2000,5,19
845,3.9499999999999993,2000,5,22
846,3.8500000000000014,2000,5,23
847,3.94,2000,5,24
848,4.179999999999999,2000,5,25
849,4.289999999999999,2000,5,26
850,4.349999999999999,2000,5,30
851,4.5200000000000005,2000,5,31
